"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Glycerolipid Metabolism",25,14,88.622,11.111,2.1657e-09,2.1224e-07,2.1224e-07
"Valine, Leucine and Isoleucine Degradation",60,15,83.296,11.111,1.4001e-08,1.358e-06,4.804e-07
"Phospholipid Biosynthesis",29,9,90.896,11.111,1.8058e-08,1.7336e-06,4.804e-07
"Cardiolipin Biosynthesis",11,8,88.981,11.111,2.0745e-08,1.9707e-06,4.804e-07
"Plasmalogen Synthesis",26,9,85.158,11.111,2.9098e-08,2.7352e-06,4.804e-07
"Amino Sugar Metabolism",33,16,72.036,11.111,2.9412e-08,2.7353e-06,4.804e-07
"Porphyrin Metabolism",40,6,69.006,11.111,4.1862e-08,3.8513e-06,5.1691e-07
"De Novo Triacylglycerol Biosynthesis",9,6,93.609,11.111,4.3878e-08,3.9929e-06,5.1691e-07
"Caffeine Metabolism",24,5,86.815,11.111,4.9262e-08,4.4336e-06,5.1691e-07
"Pentose Phosphate Pathway",29,11,73.238,11.111,5.7294e-08,5.0991e-06,5.1691e-07
"Pantothenate and CoA Biosynthesis",21,9,79.376,11.111,6.3078e-08,5.5509e-06,5.1691e-07
"Threonine and 2-Oxobutanoate Degradation",20,6,86.657,11.111,6.3295e-08,5.5509e-06,5.1691e-07
"Oxidation of Branched Chain Fatty Acids",26,8,63.35,11.111,9.2609e-08,7.9644e-06,6.1999e-07
"Pyrimidine Metabolism",59,18,53.73,11.111,9.5189e-08,8.0911e-06,6.1999e-07
"Glycine and Serine Metabolism",59,27,82.76,11.111,9.732e-08,8.1749e-06,6.1999e-07
"Ketone Body Metabolism",13,5,82.67,11.111,1.0122e-07,8.4014e-06,6.1999e-07
"Mitochondrial Electron Transport Chain",19,9,89.879,11.111,1.178e-07,9.6592e-06,6.6399e-07
"Glycerol Phosphate Shuttle",11,5,92.779,11.111,1.2196e-07,9.8785e-06,6.6399e-07
"Citric Acid Cycle",32,13,75.83,11.111,1.5785e-07,1.2628e-05,7.5954e-07
"Beta-Alanine Metabolism",34,13,70.969,11.111,1.6868e-07,1.3326e-05,7.5954e-07
"Betaine Metabolism",21,11,68.464,11.111,1.6969e-07,1.3326e-05,7.5954e-07
"Starch and Sucrose Metabolism",31,14,67.672,11.111,1.7051e-07,1.3326e-05,7.5954e-07
"Glutamate Metabolism",49,23,64.692,11.111,1.8792e-07,1.4282e-05,7.7237e-07
"Lysine Degradation",30,10,72.933,11.111,1.8915e-07,1.4282e-05,7.7237e-07
"Tryptophan Metabolism",60,14,64.056,11.111,2.2843e-07,1.6904e-05,8.9546e-07
"Retinol Metabolism",37,6,73.314,11.111,2.461e-07,1.7965e-05,9.2759e-07
