"","Total Cmpd","Hits","Statistic Q","Expected Q","Raw p","Holm p","FDR"
"Betaine Metabolism",21,12,73.433,11.111,2.5102e-07,2.46e-05,2.46e-05
"Arachidonic Acid Metabolism",69,7,68.78,11.111,8.1066e-07,7.8634e-05,2.785e-05
"Glutamate Metabolism",49,25,69.222,11.111,1.1858e-06,0.00011384,2.785e-05
"Folate Metabolism",29,9,77.388,11.111,1.3361e-06,0.00012693,2.785e-05
"Methionine Metabolism",43,20,68.758,11.111,1.4209e-06,0.00013357,2.785e-05
"Pyruvate Metabolism",48,18,65.702,11.111,1.8234e-06,0.00016958,2.9782e-05
"Nicotinate and Nicotinamide Metabolism",37,16,77.035,11.111,2.9692e-06,0.00027316,4.1568e-05
"Spermidine and Spermine Biosynthesis",18,7,61.372,11.111,3.828e-06,0.00034835,4.6893e-05
"Ubiquinone Biosynthesis",20,3,66.61,11.111,5.7685e-06,0.00051917,6.2813e-05
"Retinol Metabolism",37,6,73.848,11.111,7.2659e-06,0.00064667,6.9597e-05
"Tryptophan Metabolism",60,15,63.821,11.111,7.8119e-06,0.00068745,6.9597e-05
"Vitamin K Metabolism",14,2,84.325,11.111,1.0408e-05,0.0009055,8.4999e-05
"Lysine Degradation",30,10,61.955,11.111,1.7336e-05,0.0014909,0.00013069
"Purine Metabolism",74,24,61.08,11.111,2.037e-05,0.0017314,0.00013473
"Tyrosine Metabolism",72,10,63.395,11.111,2.1648e-05,0.0018184,0.00013473
"Steroid Biosynthesis",48,13,61.725,11.111,2.1997e-05,0.0018258,0.00013473
"Fatty Acid Elongation In Mitochondria",35,6,71.024,11.111,2.5734e-05,0.0021102,0.00014202
"Caffeine Metabolism",24,5,68.272,11.111,2.6085e-05,0.0021129,0.00014202
"Glutathione Metabolism",21,12,67.49,11.111,3.2357e-05,0.0025885,0.00016689
"Ketone Body Metabolism",13,5,68.323,11.111,3.7301e-05,0.0029468,0.00018277
"Degradation of Superoxides",11,1,88.76,11.111,4.5756e-05,0.0035689,0.00021353
"Threonine and 2-Oxobutanoate Degradation",20,7,65.2,11.111,5.4104e-05,0.004166,0.00022646
"Carnitine Synthesis",22,8,61.561,11.111,5.719e-05,0.0043464,0.00022646
"Valine, Leucine and Isoleucine Degradation",60,16,56.976,11.111,5.8086e-05,0.0043565,0.00022646
"Biotin Metabolism",8,3,60.027,11.111,6.0313e-05,0.0044632,0.00022646
"Pterine Biosynthesis",29,3,81.656,11.111,6.2136e-05,0.004536,0.00022646
"Steroidogenesis",43,4,81.029,11.111,6.2392e-05,0.004536,0.00022646
"Bile Acid Biosynthesis",65,14,59.914,11.111,6.9612e-05,0.0049424,0.00024364
"Methylhistidine Metabolism",4,2,80.725,11.111,7.9487e-05,0.0055641,0.00026861
"Histidine Metabolism",43,13,67.282,11.111,0.00010312,0.0071152,0.00031912
"Phytanic Acid Peroxisomal Oxidation",26,10,58.711,11.111,0.00010719,0.0072888,0.00031912
"Vitamin B6 Metabolism",20,2,77.234,11.111,0.00010875,0.0072888,0.00031912
